Número Laboratorio,Fecha AP,Región,Sitio,Fecha aC/dC,Etapa,Referencia,Título,Página,Tipo de fecha,Material,Fecha cristiana,Variación,Nivel,Profundidad,Contexto,Estructura,Período,Comentario,Incongruencias,Uso
Beta 20638,0,Ecuador,C 52,,Republicano,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,1950,0,,,,Centro ceremonial,Chachi,Test Pit 1. Ver ficha C 37.,FALSE,FALSE
Beta 20640,560,Ecuador,C 55-II,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,1390,60,,0-30,,,Herradura,Cuadrícula J 7. Ver ficha C 55,FALSE,FALSE
Beta 20642,1590,Ecuador,C 55-II,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,360,140,,10,,,Herradura,Cuadrícula Q. Ver ficha C 55,FALSE,FALSE
Beta 20643,150,Ecuador,C 37,,Colonial,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,1800,70,Capas 1-2 (Layer 1-2),,Habitación,,Chachi,Ver ficha C 37,FALSE,FALSE
Beta 20645,1520,Ecuador,R 10 (I-II),,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,430,70,Capa oscura (Dark Layer),,,Montículo,Selva Alegre - Guadual,Ver ficha R10. Mound 1A,FALSE,FALSE
Beta 20646,1670,Ecuador,R 10 (I-II),,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,280,70,Relleno pardo (Brown Fill),,,Montículo,Selva Alegre - Guadual,Montículo 1A. Ver ficha R 10,FALSE,FALSE
Beta 20647,310,Ecuador,C 61,,Colonial,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,1640,110,,20-40,,,Selva Alegre,Ver ficha C 61,FALSE,FALSE
Beta 20951,2750,Altiplano Cundiboyacense,Tocarema 5,1730,Formativo,"Peña, 1991","Exploraciones arqueológicas en la vereda de Tocarema, Municipio de Cachipay.","17, 25",C-14,Carbón,-800,100,,,Basurero,,Herrera,"La muestra se tomó de la capa3, Horizonte AB. Ver discusión entre Therrien (1992), Peña (1993) y López (1991) y comentarios de Langebaek (1993). Corte2X. Pinto 2003:49",FALSE,FALSE
Beta 21060,8370,Altiplano Cundiboyacense,Neusa,3350,Paleoindio,"Rivera, 1992",Neusa 9000 de presencia humana en el páramo.,34,C-14,Carbón,-6420,90,Unidad estratigráfica 2,,Abrigo rocoso,Abrigo rocoso,,Asociada con material lítico y óseo de alguna ocupación precerámica. Neusa II,FALSE,FALSE
Beta 21061,4740,Valles alto Calima y alto y medio del Cauca,El Pital,,Formativo,"Salgado, 1989",Medio ambiente y asentamientos humanos prehispánicos en el Calima medio.,92,C-14,Carbón,-2790,80,Estratos 7A-7B,230-240,,,,Errada según Salgado (1989: 97). El Pital Trinchera 1,TRUE,FALSE
Beta 2133,8810,Altiplano Cundiboyacense,El Abra,,Paleoindio,"Correal; Van Der Hammen & Hurt 1977; Hurt et al. 1976:3, 6","La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",97,C-14,Carbón,-6950,430,C4?,190-191,Abrigo rocoso,,,"Ver Hurt (1967-69), Hurt et al. (1976). Abrigo 3; Subunidad D1.Pinto, 2003:47.",FALSE,FALSE
Beta 2134,10720,Altiplano Cundiboyacense,El Abra 2,,Paleoindio,"Correal; Van Der Hammen & Hurt 1977; Hurt et al. 1976:2, 34","La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",97,C-14,Carbón,-8770,400,C4,148,Abrigo rocoso,,,"Ver Hurt (1967-69), Hurt et al. (1976).  Abrigo 2; Subunidad D1.Pinto, 2003:47.",FALSE,FALSE
Beta 2135,7250,Altiplano Cundiboyacense,El Abra,,Paleoindio,"Correal; Van Der Hammen & Hurt 1977; Hurt et al. 1976:3, 12-13","La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",97,C-14,Carbón,-5300,100,D2B,,Abrigo rocoso,,,"Ver Hurt (1967-69), Hurt et al. (1976).  Abrigo 4; Subunidad D3; Feature 16.",FALSE,FALSE
Beta 2136,340,Altiplano Cundiboyacense,El Abra,,Colonial,Correal; Van Der Hammen & Hurt 1977; Hurt et al. 1976:4,"La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",97,C-14,Carbón,1610,260,E2,50,Abrigo rocoso,,Muisca,"Ver Hurt (1967-69), Hurt et al. (1976). Abrigo 3; Subunidad E2.",FALSE,FALSE
Beta 2137,8760,Altiplano Cundiboyacense,El Abra,,Paleoindio,"Correal; Van Der Hammen & Hurt 1977; Hurt et al. 1976:3, 6","La ecología y tecnología de los abrigos rocosos en el Abra, sabana de Bogotá, Colombia.",97,C-14,Carbón,-6810,350,D2A,"100-118,5",Abrigo rocoso,,,"Ver Hurt 1967-69, Hurt et al. 1976.  Abrigo 3; Subunidad D2; El Abra 3.Pinto, 2003:47.",FALSE,FALSE
Beta 21777,590,Valles alto Calima y alto y medio del Cauca,Almacafé,,Cacicazgos,"Rodríguez, (1988)-90","Investigaciones arqueológicas en el cementerio prehispánico de Almacafé, Buga, Departamento del Valle del Cauca.",171,C-14,Carbón,1360,70,,256,Tumba,,Buga,"Ver impresiones sobre el estilo Guabas-Buga-Sonso, en Bray (1989), Rodríguez (1988-90, 1989, 1992) y Cardale et al. (1989). Almacafé Tumba 5.",FALSE,FALSE
Beta 21778,1740,Costa Pacífica,San Luis,,Cacicazgos,"Rodríguez, 1988",San Luis: un asentamiento temprano de la cultura Sonso en la llanura aluvial del Pacífico.,45,C-14,Carbón,210,70,,30-40,,,,Descartada  (Rodríguez 1988). San Luis I. La fecha sale de la cuadrícula F3.,TRUE,FALSE
Beta 21798,1330,Sierra Nevada,Puerto Gaira,,Cacicazgos,"Oyuela, 1987",Gaira: una introducción a la ecología y arqueología del litoral de la Sierra Nevada de Santa Marta.,,,,620,70,,,,,,Información Erigaie,FALSE,FALSE
Beta 21799,1400,Sierra Nevada,Mamorón,,Cacicazgos,Oyuela 1987,Gaira: una introducción a la ecología y arqueología del litoral de la Sierra Nevada de Santa Marta.,,C-14,Carbón,550,70,,,,,,,FALSE,FALSE
Beta 21889,1850,Tierras bajas orientales,Villa Azul-Paqui,,Cacicazgos,Herrera: Cavelier & Mora 1987,Proyecto Ecologia y Cultura.,70,C-14,Carbón,100,70,,25,,,,Confirmar referencia publicada !!!,TRUE,FALSE
Beta 21890,1020,Tierras bajas orientales,Villa Azul-Paqui,,Cacicazgos,Herrera: Cavelier & Mora 1987,Proyecto Ecologia y Cultura.,70,,,930,70,,,,,Meidote,Confirmar referencia publicada !!! No aparece este titulo,TRUE,FALSE
Beta 21891,840,Tierras bajas orientales,Peña Roja,,Cacicazgos,Herrera: Cavelier & Mora 1987,Proyecto Ecologia y Cultura.,70,C-14,Carbón,1110,60,Nivel 4,16.7,,,,Confirmar referencia publicada !!!,TRUE,FALSE
Beta 21892,1400,Tierras bajas orientales,Peña Roja,,Cacicazgos,Herrera: Cavelier & Mora 1987,Proyecto Ecologia y Cultura.,70,,,550,80,,57.2,,,Meidote,Confirmar referencia publicada !!!,TRUE,FALSE
Beta 21893,1100,Tierras bajas orientales,Villa Azul,,Cacicazgos,Herrera: Cavelier & Mora 1987,Proyecto Ecologia y Cultura.,70,,,850,90,,,,,Meidote,Confirmar referencia publicada !!!,TRUE,FALSE
Beta 21894,1640,Tierras bajas orientales,Puerto Arturo,,Cacicazgos,Herrera; Cavelier; Rodríguez & Mora 1989,Los alfareros de la Amazonia: el caso de Araracuara.,"6, 216",C-14,Carbón,310,70,6,,Habitación,,Méidote,Esta fecha corresponde con la parte más baja del estrato cultural que fuera encontrado en Puerto Arturo. Figura 9 del texto mencionado,FALSE,FALSE
Beta 22666,2090,Costa Pacífica,El Tamarindo,,Cacicazgos,"Patiño, 1988",Asentamientos prehispánicos en la costa Pacífica caucana.,40,C-14,Carbón,-140,60,Parte Inferior Estrato 1,30-60,,,El Tamarindo,En el Catalo de Erigai aparece como 2190 AP.,TRUE,FALSE
Beta 22667,700,Altiplano Cundiboyacense,Marín,,Cacicazgos,"Boada, 1988",Las patologías óseas en la población de Marín.,3,C-14,Carbón,1250,80,,,Tumba,,Muisca,Tumba 20. encuentra maíz y frijol; Cerámica Desgrasante Gris,FALSE,FALSE
Beta 22669,600,Altiplano Cundiboyacense,Marín,,Cacicazgos,"Boada ,1988",Las patologías óseas en la población de Marín.,3,C-14,Carbón,1350,100,,,Tumba,,Muisca,"Tumba 10. Boada, et al. 1989:187, cita a Boada (1987: 66)",TRUE,FALSE
Beta 22839,1170,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Limoncito,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,,,780,120,,30-80,Basurero,,,"Plataforma de vivienda. Cerámica Granulosa Incisa, Rabón modela Incisa y Modelada Pintada -Complejo Rabón- Limoncito 2 P1",FALSE,FALSE
Beta 23475,9600,Valles alto Calima y alto y medio del Cauca,Sauzalito,,Paleoindio,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,41,C-14,Carbón,-7650,110,Nivel 5,,,,,"Otros detalles en Herrera et al. (1992:147, 163). Esta fecha corresponde a la parte superior de la capa Sauzalito Trinchera 3",FALSE,FALSE
Beta 23476,9670,Valles alto Calima y alto y medio del Cauca,Sauzalito,,Paleoindio,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,41,C-14,Carbón,-7720,150,Nivel 7,,,,,"Otros detalles en Herrera et al. (1992:147, 163). En esta última publicación es presentada como Tr.III, N7,  Esta fecha corresponde a la parte inferior de la capa. Sauzalito Trinchera 3",FALSE,FALSE
Beta 25156,1430,Alto Magdalena,Cálamo,,Cacicazgos,"Llanos, 1990",Proceso historico pehispánico de San Agustin en el valle de Laboyas (Pitalito-Huila).,"17, 48",C-14,Carbón,520,370,,95-100,Habitación,,Clásico Regional,San Agustín,FALSE,FALSE
Beta 25157,2200,Alto Magdalena,Cálamo,,Cacicazgos,"Llanos, 1990",Proceso historico pehispánico de San Agustin en el valle de Laboyas (Pitalito-Huila).,"17, 46",C-14,Carbón,-250,120,,120-125,Habitación,,Formativo tardío,,FALSE,FALSE
Beta 25513,1460,Ecuador,C 36-I,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,490,90,Capa 3 (Layer 3),,,,Guadual,Cuadrícula C 2. Ver ficha C 36,TRUE,FALSE
Beta 25514,1740,Ecuador,C 36,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,210,80,Layer 4,,,,Selva Alegre - Guadual,Cuadrícula C 2. Ver ficha C 36,TRUE,FALSE
Beta 25516,1840,Ecuador,C 55-I,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,110,140,,30-90,,,Guadual,Cuadricula J7. Ver ficha C 55,TRUE,FALSE
Beta 25518,1720,Ecuador,R 19,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,230,80,,60,,,Las Cruces,Test pit 2. Ver ficha R 19.,TRUE,FALSE
Beta 25519,3200,Ecuador,R 10 (I-II),,Formativo,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,-1250,150,Relleno pardo (Brown Fill),,,,Selva Alegre - Guadual,Montículo 1A. Descartada por DeBoer (1994: 57).,TRUE,FALSE
Beta 25520,3120,Ecuador,R 10 (I-II),,Formativo,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,-1170,160,Relleno pardo (Brown Fill),,,,Selva Alegre - Guadual,Montículo 1A. Descartada por DeBoer (1994: 57).,TRUE,FALSE
Beta 25521,1805,Ecuador,C 61,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,145,70,,20-40,,,Selva Alegre tard'io,"En Tolstoy y DeBoer (1989: 304) 100 ± 70 D.C. Beta 25521. DeBoer (1994:57, 82, 107, Fig 3.18) 145±70 D.C. y la calibra en 68/132/235 D.C. con base en Stuiver y Becker (1987).",FALSE,FALSE
Beta 25641,970,Valles alto Calima y alto y medio del Cauca,Nuevo Río Claro,,Cacicazgos,"Herrera, & Moreno, 1990",Investigaciones arqueológicas en Nuevo Río Claro (Departamento de Caldas).,"13, 27",C-14,Carbón,980,60,Nivel 7,,,,Aplicado Incido - Sistema Guacaica (?),Trinchera III,FALSE,FALSE
Beta 2567,4890,Valles alto Calima y alto y medio del Cauca,La Suiza,,Formativo,"Bray, et al. 1981",Report on the 1980 field season in Calima.,2,C-14,Carbón,-2940,100,,,Tumba,,Sonso (?),Asociada a cerámica Sonso. Descartada (Bray et al. 1981:2).,FALSE,FALSE
Beta 2569,240,Valles alto Calima y alto y medio del Cauca,Varsovia,,Colonial,"Herrera, et al. 1982-83","El hombre y su medio ambiente en Calima (Altos ríos Calima y río grande, cordillera Occidental).",289,C-14,Carbón,1710,80,,,Tumba,,Sonso,,FALSE,FALSE
Beta 2595,1350,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Japón 1,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,C-14,Carbón,600,160,,90-120,Basurero,,Tradicion modelada pintada,"Plataforma de vivienda. Granulosa Incisa, Rabón Modelada Incisa y Modelada Pintada. (Complejo Rabón). Ver Plazas & Falchetti (1981).  (Caño Marusa) Jap 1 (22) P1",FALSE,FALSE
Beta 2596,1880,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Japón 3,,Cacicazgos,Plazas & Falchetti 1981,Asentamientos prehispánicos en el bajo río San Jorge.,"13,42",C-14,Carbón,70,90,,50-95,Basurero,,Tradicion modelada pintada,Plazas & Falchetti 1981: 13-14,FALSE,FALSE
Beta 2598,1800,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Japón 3,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,60,C-14,Carbón,150,70,,75-95,Basurero,,Tradicion modelada pintada,"Basurero en plataforma de vivienda. Cerámica granulosa Incisa, Rabón modelado Inciso y Modelada pintada. Complejo Rabón. Ver Plazas & Falchetti (1981). Poblado Marusa Jap 3(3) B P1",FALSE,FALSE
Beta 2601,1270,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Carate 15,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,C-14,Carbón,680,120,,65-87,Basurero,,,Basurero en plataforma de vivienda. Cerámica Modelada Pintada (Complejo Carate-Pajaral). Ver Plazas & Falchetti (1981). Carate 15 P1,FALSE,FALSE
Beta 26018,8750,Valles alto Calima y alto y medio del Cauca,El Recreo,,Paleoindio,"Herrera, et al. 1992",Nuevas fechas de radiocarbono para el Precerámico en la Cordillera Occidental de Colombia.,"148, 163",C-14,Carbón,-6800,160,,,,Paleosuelo,,"La muestra procede de un barranco, no es claro si tiene alguna asociación cultural ver Herrera et al 1992:148. Pinto 2003:40",TRUE,FALSE
Beta 26019,7980,Valles alto Calima y alto y medio del Cauca,El Recreo,,Paleoindio,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,41,C-14,Carbón,-6030,120,,80-96,,,,"Otros detalles  en Herrera et al. (1992:147), en este título a profundidad es 80-90, asociada a un objeto de enmangar. El Recreo K 30. Pinto 2003:40",TRUE,FALSE
Beta 2602,1640,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Carate 17,,Cacicazgos,"Plazas; Falchetti, Sáenz  & Archila 1993",La sociedad hidráulica Zenu. Estudio arqueológico de 2000 años de historia en las llanuras del Caribe colombiano.,61,C-14,Carbón,310,140,,160,Basurero,,Complejo Carate-Pajaral,Plataforma de vivienda. Cerámica modelada pintada - Complejo Carate-Pajaral. Ver Plazas & Falchetti (1981:13-14); Plazas et al. (1988: 78-79); Plazas et al. (1992: 195); Plazas et al. (1993: 61).Caño Carate 17 P1,FALSE,FALSE
Beta 26020,7830,Valles alto Calima y alto y medio del Cauca,El Recreo,,Paleoindio,Bray; Herrera &  Cardale 1987,Report on the 1984 field season in Calima.,42,C-14,Carbón,-5880,140,Nivel 28,50-60,,,,"Ver Herrera et al. (1992:147, 163), aquí se encontró además de un objeto de enmangar un canto rodado con un orificio artificial. Pinto 2003:40",FALSE,FALSE
Beta 26195,11360,Altiplano Cundiboyacense,UPTC,,Paleoindio,Pradilla;  Acuña & Flórez 1999,"Proyecto nueva prospección en el lote ""El Corazón"" Nº 9005.046 (Antigua investigación arqueológica y etnohistórica del Bosque - Sector sur).",,C-14,Carbón,-9410,120,,60-70,,,,"El Establo, Corte B4, 15-16. ¿Esta descartada esta fecha?",FALSE,FALSE
Beta 26196,920,Altiplano Cundiboyacense,UPTC,,Cacicazgos,"Pradilla, Villate & Ortiz 1992",Arqueología del cercado grande de los santuarios.,67,C14,Carbón,1030,80,Estrato 7,,,,,"El sitio tiene 8 estratos concentrandose el material arqueológico en los estratos 4 y 7. Corte B5, 13-16, El Establo. Corte de 6 x 4 m., excavado hasta 2 m. Del estrato 7 (distribuido entre 125-155 cm.), en la cuadrícula marcada como B 5,16, se obtuvo la muestra de carbón datada (Pradilla et al. 1988: 36, 41; Pradilla et al. 1992: 67)",FALSE,FALSE
Beta 26200,5220,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Puerto Chacho,,Formativo,"Legros, 1989; 1992:162","Consideraciones sobre Puerto Chacho, un conchero de las llanuras del Caribe colombiano.",74,C-14,Carbón,-3270,90,Capa 2B,,,Conchero,,"Ver crítica de la periodización y comparaciones tipológicas en Rodríguez (1988) y del contexto en Archila (1991) y Oyuela (1993). Además ver Ver Archila (1993). Legros, 1992:162.",FALSE,FALSE
Beta 26526,1710,Altiplano Cundiboyacense,Bura,,Cacicazgos,"Pérez, 1988; Peña 1991: 17",Arqueología de la región de Chicamocha.,59,C-14,Carbón,240,80,,110-120,,,Muisca,,FALSE,FALSE
Beta 27818,550,Alto Magdalena,Rodapasos,,Cacicazgos,"Sánchez, 1991",Arqueología del Valle de Timaná (Huila).,,,,1400,50,,,,,,Información Eriagie,FALSE,FALSE
Beta 27884,1400,Costa Pacífica,San Luis,,Cacicazgos,"Rodríguez, 1988",San Luis: un asentamiento temprano de la cultura Sonso en la llanura aluvial del Pacífico.,45,C-14,Carbón,550,60,,30-35,,,Sonso,El contexto es discutible para Cardale et al. 1989. San Luis I. Cuadrícula E5.,FALSE,FALSE
Beta 28148,1030,Ecuador,R 30-II,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,920,80,Depósito 2,,,,Las Cruces,Ver ficha R 30,TRUE,FALSE
Beta 28149,1390,Ecuador,R 30-II,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,560,60,Depósito 3,,,,Las Cruces,Ver ficha R30,TRUE,FALSE
Beta 28150,1660,Ecuador,C 69-III,,Cacicazgos,"DeBoer, 1994","Traces behind the Esmeraldas Shore: Prehistory of the Santiago-Cayapas Region, Ecuador",82,C-14,Carbón,290,60,Ashy Midden o Layer 3 (?),,,,Guadual,Ver ficha C 69,TRUE,FALSE
Beta 2820,360,Valles alto Calima y alto y medio del Cauca,La Iberia,,Cacicazgos,"Cardale, 1985",Cultura Ilama de la región Calima.,36,C-14,Carbón,1590,70,,,Tumba,,Ilama,Hacienda La Iberia. Información incompleta sobre sitio de publicación.,FALSE,FALSE
Beta 2830,3540,Valles alto Calima y alto y medio del Cauca,La Iberia,,Formativo,"Bray, et al. 1981; Cardale, 1986:37",Report on the 1980 field season in Calima.,4,C-14,Carbón,-1590,70,,,Tumba,,Ilama,"Calibrada en 1888 (2125-1695) AC en Bray et al. (1988: 5). La muestra de carbón datada se tomó de tres tumbas diferentes (4, 10 y 11).",FALSE,FALSE
Beta 28409,1040,Magdalena medio,Villa Helena 1,,Cacicazgos,"López, 1988; López, 1991",Exploración arqueológica en Cimitarra (Santander) sitio  Villa Helena I.,13,C-14,Carbón,910,80,,40,,,,Villa Helena I,FALSE,FALSE
Beta 2850,720,Montaña Santandereana,Cueva del Caucho,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,214,C-14,,1230,90,,,,,Carrizal,En esta publicación no hay mayor información sobre el contexto o la fuente primaria.,TRUE,FALSE
Beta 28745,500,Montaña Santandereana,Cueva El Conde,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,214,C-14,,1450,70,,,,,Guane,En esta publicación no hay mayor información sobre el contexto o la fuente primaria.,TRUE,FALSE
Beta 28746,860,Montaña Santandereana,Cueva El Conde,,Cacicazgos,"Uribe, 1990",Cronología absoluta de la arqueología colombiana.,214,C-14,,1090,70,,,,,Guane,En esta publicación no hay mayor información sobre el contexto o la fuente primaria.,TRUE,FALSE
